rank,percent_late,late_observations,on_time_observations,line_information,schedule_year
1,0.307413094437681,135338.0,304910.0,15: East Colfax Avenue,2023
2,0.293108216670398,44512.0,107350.0,38: 38th Avenue,2023
3,0.292313015821597,39704.0,96123.0,52: W 52nd Avenue / South Bannock,2023
4,0.251485241776504,37378.0,111251.0,20: 20th Avenue,2023
5,0.244910573253407,24963.0,76964.0,44: 44th Avenue,2023
6,0.24158373778596,37531.0,117823.0,76: Wadsworth Blvd,2023
7,0.234001910219675,16170.0,52932.0,9: West 10th Avenue,2023
8,0.230487350274658,32770.0,109407.0,10: East 12th Avenue,2023
9,0.225034343434343,125316.0,431559.0,15L: East Colfax Limited,2023
10,0.22063319854029,11185.0,39510.0,8: North Broadway / Huron,2023
11,0.219386960544517,47897.0,170425.0,11: Mississippi Avenue,2023
12,0.207434352873122,37294.0,142493.0,83: Cherry Creek / Parker Rd Limited,2023
13,0.20539608311361,61930.0,239585.0,0: South Broadway,2023
14,0.177632461435278,10594.0,49046.0,324: Main Street,2023
15,0.171538711248174,21137.0,102083.0,73: Quebec Street,2023
16,0.171346994831761,9482.0,45856.0,24: University Blvd,2023
17,0.170705216064548,59409.0,288612.0,31: Federal Blvd,2023
18,0.168951982872872,13258.0,65214.0,28: 28th Avenue,2023
19,0.167931058511997,36148.0,179107.0,51: Sheridan Blvd,2023
20,0.165206558896807,28513.0,144077.0,6: East 6th Avenue / North Pecos,2023
21,0.15858602595968,14356.0,76169.0,19: North Pecos,2023
22,0.157010240805672,10165.0,54576.0,35: Hampden Avenue,2023
23,0.156525597648233,2822.0,15207.0,169L: Buckley / Tower DIA Limited,2023
24,0.155159668835009,48277.0,262867.0,121: Peoria Street,2023
25,0.143324845398327,788.0,4710.0,3L: East Alameda Limited,2023
26,0.140410274626468,25298.0,154874.0,12: Downing / N Washington,2023
27,0.129528990415093,23906.0,160655.0,21: Evans Avenue,2023
28,0.126887251804551,17069.0,117452.0,45: Montbello / Green Valley Ranch,2023
29,0.126582278481013,2410.0,16629.0,32: West 32nd Avenue / City Park,2023
30,0.120810763200775,10973.0,79855.0,169: Buckley Crosstown,2023
31,0.119755845942228,16716.0,122868.0,3: Alameda Avenue,2023
32,0.118881118881119,1462.0,10836.0,327: Eastside Crosstown,2023
33,0.118870136940408,5677.0,42081.0,36: Fort Logan,2023
34,0.11877727797194,35515.0,263490.0,16: West Colfax Avenue,2023
35,0.117326376550325,13537.0,101842.0,DASH: Boulder / Lafayette via Louisville,2023
36,0.116700309514197,13008.0,98457.0,65: Monaco Parkway,2023
37,0.116677306275129,10418.0,78871.0,46: South Dahlia,2023
38,0.114964287418672,7227.0,55636.0,14: West Florida Avenue,2023
39,0.112836140509822,2740.0,21543.0,323: Skyline Crosstown,2023
40,0.111912531958677,5384.0,42725.0,29: Riverbend,2023
41,0.111463320211734,29080.0,231813.0,105: Havana Street,2023
42,0.110316095601897,9559.0,77092.0,1: West 1st Avenue,2023
43,0.109994612068966,4083.0,33037.0,228: Louisville / Broomfield,2023
44,0.108094797081355,20192.0,166607.0,SKIP: Broadway,2023
45,0.105048040745523,13262.0,112985.0,48: East 48th Avenue / Commerce City,2023
46,0.103719399144879,13706.0,118439.0,7: North Washington,2023         
47,0.102523283839676,6891.0,60323.0,88: Northglenn/Commerce City/Stapleton,2023         
48,0.101543164943951,4185.0,37029.0,30: South Federal Blvd,2023         
49,0.0983500243193694,15772.0,144594.0,JUMP: Boulder / Lafayette via Arapahoe,2023         
50,0.0976400375655124,3223.0,29786.0,37: Smith Road Industrial,2023
51,0.0972315099638893,4362.0,40500.0,100: Kipling Street,2023
52,0.0955063539892572,5103.0,48328.0,49: North Lowell,2023
53,0.0943083301922352,10008.0,96112.0,133: Hampden/Tower,2023
54,0.0942262958719578,2714.0,26089.0,483: Parker Road / Lincoln Ave,2023
55,0.0925993806484232,21978.0,215367.0,40: Colorado Boulevard,2023
56,0.0903726954863319,18196.0,183148.0,153: Chambers Road,2023
57,0.0880114606770576,20458.0,211989.0,43: MLK Blvd / Gateway,2023
58,0.0862382096197785,1472.0,15597.0,34: Bruce Randolph Ave,2023
59,0.0856176309636336,3442.0,36760.0,59: West Bowles,2023
60,0.0836298932384342,1880.0,20600.0,326: Westside Crosstown,2023
61,0.0831483280144304,4794.0,52862.0,402L: Highlands Ranch Parkway,2023
62,0.0794594154522511,5856.0,67842.0,99: South Kipling Street,2023
63,0.0788092694933358,1697.0,19836.0,4: Morrison Road,2023
64,0.0784408456692305,4059.0,47687.0,17: Golden / Colfax,2023
65,0.0782157295655931,13214.0,155729.0,42: Montbello via Albrook/GVR,2023
66,0.0781763237419524,1785.0,21048.0,208: Iris / Valmont,2023
67,0.0775977156419195,4185.0,49747.0,205: 28th St / Gunbarrel,2023
68,0.0768562744246635,8319.0,99922.0,225: Boulder / Lafayette via Baseline,2023
69,0.0733372658899867,4973.0,62837.0,120: 120th Avenue / Brighton,2023
70,0.0721945988105684,7405.0,95165.0,92: 92nd Avenue,2023
71,0.071441948734596,5722.0,74371.0,104L: Wagon Road / Denver Airport Limited,2023
72,0.0712929956946438,1540.0,20061.0,72: 72nd Avenue,2023
73,0.0704020443792222,5565.0,73481.0,204: Table Mesa / Moorhead / North 19th,2023
74,0.0684425162689805,3944.0,53681.0,66: Arapahoe Road,2023
75,0.0665890251421525,1944.0,27250.0,BOND: 30th Street,2023
76,0.0624168627852246,1220.0,18326.0,206: Pearl / Manhattan / Fairview H.S.,2023
77,0.0614328584733193,1781.0,27210.0,520: Brighton,2023
78,0.0598290598290598,588.0,9240.0,225: Boulder / Lafayette via Baseline 225T,2023         
79,0.0505676657584015,2227.0,41813.0,120L: 120th Avenue Limited,2023         
80,0.0504678727386151,2427.0,45663.0,93L: N Colorado Blvd Limited,2023
81,0.0494858408479671,1564.0,30041.0,112: West 112th Avenue,2023
82,0.0407778608825729,1363.0,32062.0,139: Quincy Avenue,2023
83,0.0353017521090201,1088.0,29732.0,88L: Thornton/Commerce City Limited,2023
84,0.0296931487523146,1347.0,44017.0,135: Smoky Hill Road,2023
85,0.0290941150540004,132.0,4405.0,0L: South Broadway Limited,2023
86,0.0204584015770427,2086.0,99877.0,130: Yale / Buckley,2023
