rank,percent_late,late_observations,on_time_observations,line_information,schedule_year
1,0.331096418296513,50177.0,101371.0,38: 38th Avenue,2024,
2,0.327124444171226,15964.0,32837.0,9: West 10th Avenue,2024,
3,0.316666118042069,19240.0,41518.0,324: Main Street,2024,
4,0.291511436424998,93114.0,226304.0,15: East Colfax Avenue,2024,
5,0.277317837375257,100457.0,261788.0,15L: East Colfax Limited,2024,
6,0.273214430701778,30285.0,80562.0,20: 20th Avenue,2024,
7,0.262545181997316,21718.0,61003.0,44: 44th Avenue,2024,
8,0.242548250789904,25486.0,79590.0,52: W 52nd Avenue / South Bannock,2024,
9,0.242071313384698,39179.0,122670.0,11: Mississippi Avenue,2024,
10,0.235637848493382,3347.0,10857.0,327: Eastside Crosstown,2024,
11,0.23448866067608,6028.0,19679.0,326: Westside Crosstown,2024,
12,0.217841272316208,22354.0,80262.0,0: Broadway,2024,
13,0.217206790123457,2815.0,10145.0,169L: Buckley / Tower DIA Limited,2024,
14,0.195078239935803,21879.0,90276.0,10: East 12th Avenue,2024,
15,0.192187874430865,802.0,3371.0,3L: East Alameda Limited,2024,
16,0.190749363586449,53501.0,226977.0,31: Federal Blvd,2024,
17,0.186532875627145,7064.0,30806.0,8: North Broadway / Huron,2024,
18,0.184593171527892,23524.0,103913.0,76: Wadsworth Blvd,2024,
19,0.18277362554754,12643.0,56530.0,19: North Pecos,2024,
20,0.18260279174674,31736.0,142062.0,51: Sheridan Blvd,2024,
21,0.182553238033537,21697.0,97156.0,0: South Broadway,2024,
22,0.170284668278144,21768.0,106065.0,83: Cherry Creek / Parker Rd Limited,2024,
23,0.166681584064964,20485.0,102414.0,3: Alameda Avenue,2024,
24,0.165891112145184,8556.0,43020.0,35: Hampden Avenue,2024,
25,0.162687781548292,8198.0,42193.0,28: 28th Avenue,2024,
26,0.160903660964609,7920.0,41302.0,24: University Blvd,2024,
27,0.160612005481235,16292.0,85145.0,45: Montbello / Green Valley Ranch,2024,
28,0.159207585915323,5272.0,27842.0,30: South Federal Blvd,2024,
29,0.158748346371392,15240.0,80761.0,65: Monaco Parkway,2024,
30,0.154527090397518,21419.0,117191.0,6: East 6th Avenue / North Pecos,2024,
31,0.15414076699005,37147.0,203847.0,121: Peoria Street,2024,
32,0.153469673134067,878.0,4843.0,49: Denver / Commerce City,2024,
33,0.152390094846643,22542.0,125381.0,21: Evans Avenue,2024,
34,0.152074274297802,20704.0,115440.0,16: West Colfax Avenue,2024,
35,0.147502284495888,3874.0,22390.0,323: Skyline Crosstown,2024,
36,0.137275740075231,9817.0,61696.0,169: Buckley Crosstown,2024,
37,0.136888751708629,6209.0,39149.0,402L: Highlands Ranch Parkway,2024,
38,0.129663675400478,20171.0,135393.0,153: Chambers Road,2024,
39,0.127229357218457,8054.0,55249.0,104L: Wagon Road / Denver Airport Limited,2024,
40,0.123746823746824,5357.0,37933.0,49: North Lowell,2024,
41,0.122972234757618,10355.0,73851.0,DASH: Boulder / Lafayette via Louisville,2024,
42,0.122155970920857,22802.0,163861.0,105: Havana Street,2024,
43,0.116459170669542,1188.0,9013.0,32: West 32nd Avenue / City Park,2024,
44,0.115621079046424,3686.0,28194.0,59: West Bowles,2024,
45,0.115401104140966,13190.0,101107.0,17: Golden / Colfax,2024,
46,0.114215800194119,8355.0,64796.0,46: South Dahlia,2024,
47,0.111727575355174,6142.0,48831.0,88: Northglenn/Commerce City/Stapleton,2024,
48,0.108330528956466,14164.0,116584.0,SKIP: Broadway,2024,
49,0.106339326345343,13787.0,115864.0,12: Downing / N Washington,2024,
50,0.105331466238601,9252.0,78585.0,73: Quebec Street,2024,
51,0.104827515294843,4078.0,34824.0,100: Kipling Street,2024,
52,0.104113308198512,19634.0,168949.0,40: Colorado Boulevard,2024,
53,0.10411074468901,5430.0,46726.0,14: West Florida Avenue,2024,
54,0.103988123355152,6164.0,53112.0,1: West 1st Avenue,2024,
55,0.103311633172941,4015.0,34848.0,29: Riverbend,2024,
56,0.0995151260782646,9010.0,81529.0,BOND: 30th Street,2024,
57,0.0981237587540504,3755.0,34513.0,36: Fort Logan,2024,
58,0.0980035111310324,10495.0,96593.0,JUMP: Boulder / Lafayette via Arapahoe,2024,
59,0.0969009656411408,8630.0,80430.0,48: East 48th Avenue / Commerce City,2024,
60,0.094717416378316,4106.0,39244.0,205: 28th St / Gunbarrel,2024,
61,0.0924159064001671,2654.0,26064.0,483: Parker Road / Lincoln Ave,2024,
62,0.0920849840678511,9739.0,96022.0,7: North Washington,2024,
63,0.0880243814987451,1473.0,15261.0,4: Morrison Road,2024,
64,0.0870987782149513,2103.0,22042.0,37: Smith Road Industrial,2024,
65,0.0861056401074306,14427.0,153123.0,43: MLK Blvd / Gateway,2024,
66,0.08606082519126,10473.0,111220.0,42: Montbello via Albrook/GVR,2024,
67,0.0838559031330116,6967.0,76116.0,225: Boulder / Lafayette via Baseline,2024,
68,0.0809137115148683,1385.0,15732.0,208: Iris / Valmont,2024,
69,0.0771732956990173,4484.0,53619.0,204: Table Mesa / Moorhead / North 19th,2024,
70,0.0761294102330426,2339.0,28385.0,228: Louisville / Broomfield,2024,
